"Index","Price"
2018-04-01 00:00:59,6960
2018-04-01 00:01:59,6962
2018-04-01 00:02:59,6990.5
2018-04-01 00:03:59,6997
2018-04-01 00:04:59,6992.5
2018-04-01 00:05:59,6990
2018-04-01 00:06:59,6994.5
2018-04-01 00:07:59,7015.5
2018-04-01 00:08:59,7001
2018-04-01 00:09:59,6994
2018-04-01 00:10:59,6990.5
2018-04-01 00:11:59,6986.5
2018-04-01 00:12:59,6983
2018-04-01 00:13:59,6986
2018-04-01 00:14:59,6990.5
2018-04-01 00:15:59,6991
2018-04-01 00:16:59,6997.5
2018-04-01 00:17:59,7004.5
2018-04-01 00:18:59,6995
2018-04-01 00:19:59,6999
2018-04-01 00:20:59,6999
2018-04-01 00:21:58,6997
2018-04-01 00:22:57,6999
2018-04-01 00:23:58,6999
2018-04-01 00:24:59,7003.5
2018-04-01 00:25:59,7004
2018-04-01 00:26:58,7007
2018-04-01 00:27:59,7027
2018-04-01 00:28:59,7027.5
2018-04-01 00:29:59,7026
2018-04-01 00:30:59,7017
2018-04-01 00:31:58,7024.5
2018-04-01 00:32:58,7016
2018-04-01 00:33:59,7014
2018-04-01 00:34:59,7015.5
2018-04-01 00:35:59,6989
2018-04-01 00:36:59,6997
2018-04-01 00:37:58,6993
2018-04-01 00:38:59,7008
2018-04-01 00:39:59,7002
2018-04-01 00:40:59,7006.5
2018-04-01 00:41:59,7012
2018-04-01 00:42:59,7000
2018-04-01 00:43:55,7006.5
2018-04-01 00:44:59,6990.5
2018-04-01 00:45:58,6994.5
2018-04-01 00:46:59,6990
2018-04-01 00:47:59,6969
2018-04-01 00:48:59,6977
2018-04-01 00:49:59,6980
2018-04-01 00:50:59,6977.5
2018-04-01 00:51:57,6979.5
2018-04-01 00:52:59,7002
2018-04-01 00:53:59,7004
2018-04-01 00:54:59,7002.5
2018-04-01 00:55:59,6992
2018-04-01 00:56:58,6985.5
2018-04-01 00:57:59,6977.5
2018-04-01 00:58:59,6982
2018-04-01 00:59:59,6981.5
2018-04-01 01:00:59,6981.5
2018-04-01 01:01:59,6983.5
2018-04-01 01:02:57,6985.5
2018-04-01 01:03:59,6988.5
2018-04-01 01:04:59,6984.5
2018-04-01 01:05:59,6988
2018-04-01 01:06:58,6988
2018-04-01 01:07:59,6999.5
2018-04-01 01:08:59,6996
2018-04-01 01:09:59,7002
2018-04-01 01:10:59,7002
2018-04-01 01:11:59,7007.5
2018-04-01 01:12:59,7006.5
2018-04-01 01:13:57,7003
