"Index","Price"
2018-06-26 00:00:59,6254
2018-06-26 00:01:59,6257.5
2018-06-26 00:02:58,6256.5
2018-06-26 00:03:58,6255
2018-06-26 00:04:44,6255.5
2018-06-26 00:05:51,6255.5
2018-06-26 00:06:59,6258
2018-06-26 00:07:59,6258
2018-06-26 00:08:58,6257.5
2018-06-26 00:09:56,6258
2018-06-26 00:10:56,6258
2018-06-26 00:11:59,6257.5
2018-06-26 00:12:59,6258
2018-06-26 00:13:59,6249
2018-06-26 00:14:59,6248.5
2018-06-26 00:15:59,6248
2018-06-26 00:16:57,6243.5
2018-06-26 00:17:56,6242.5
2018-06-26 00:18:59,6243
2018-06-26 00:19:55,6243
2018-06-26 00:20:59,6242.5
2018-06-26 00:21:57,6242.5
2018-06-26 00:22:56,6242.5
2018-06-26 00:23:59,6242
2018-06-26 00:24:59,6240.5
2018-06-26 00:25:58,6240.5
2018-06-26 00:26:58,6240
2018-06-26 00:27:57,6243
2018-06-26 00:28:59,6243
2018-06-26 00:29:58,6243
2018-06-26 00:30:59,6242.5
2018-06-26 00:31:56,6240
2018-06-26 00:32:55,6239.5
2018-06-26 00:33:58,6234
2018-06-26 00:34:57,6233
2018-06-26 00:35:59,6229.5
2018-06-26 00:36:59,6227
2018-06-26 00:37:59,6229.5
2018-06-26 00:38:58,6234
2018-06-26 00:39:59,6230
2018-06-26 00:40:59,6230
2018-06-26 00:41:59,6224
2018-06-26 00:42:59,6219
2018-06-26 00:43:58,6221.5
2018-06-26 00:44:57,6216
2018-06-26 00:45:59,6218
2018-06-26 00:46:59,6225.5
2018-06-26 00:47:58,6227.5
2018-06-26 00:48:59,6225.5
2018-06-26 00:49:59,6228
2018-06-26 00:50:59,6230
2018-06-26 00:51:58,6231.5
2018-06-26 00:52:59,6227.5
2018-06-26 00:53:59,6217
2018-06-26 00:54:59,6220.5
2018-06-26 00:55:59,6211.5
2018-06-26 00:56:59,6215
2018-06-26 00:57:59,6209.5
2018-06-26 00:58:59,6200
2018-06-26 00:59:59,6200
2018-06-26 01:00:59,6210
2018-06-26 01:01:59,6201
2018-06-26 01:02:59,6208
2018-06-26 01:03:59,6203.5
2018-06-26 01:04:59,6209.5
2018-06-26 01:05:59,6204.5
2018-06-26 01:06:57,6204
2018-06-26 01:07:59,6203.5
2018-06-26 01:08:59,6206.5
2018-06-26 01:09:59,6211
2018-06-26 01:10:59,6210
2018-06-26 01:11:56,6206
2018-06-26 01:12:59,6203.5
2018-06-26 01:13:59,6200.5
2018-06-26 01:14:59,6203.5
2018-06-26 01:15:58,6209.5
2018-06-26 01:16:59,6211.5
2018-06-26 01:17:59,6212
2018-06-26 01:18:59,6218.5
2018-06-26 01:19:59,6220
2018-06-26 01:20:59,6223.5
2018-06-26 01:21:59,6216
2018-06-26 01:22:59,6216
2018-06-26 01:23:59,6212.5
2018-06-26 01:24:59,6209.5
2018-06-26 01:25:59,6216
2018-06-26 01:26:59,6219.5
2018-06-26 01:27:54,6219.5
2018-06-26 01:28:59,6216
2018-06-26 01:29:58,6215.5
2018-06-26 01:30:59,6215
2018-06-26 01:31:58,6212.5
2018-06-26 01:32:57,6210.5
2018-06-26 01:33:59,6210.5
2018-06-26 01:34:59,6212
2018-06-26 01:35:59,6220
