"Index","Price"
2018-05-02 00:00:59,9068.5
2018-05-02 00:01:59,9071.5
2018-05-02 00:02:58,9072
2018-05-02 00:03:57,9075
2018-05-02 00:04:56,9079.5
2018-05-02 00:05:59,9075
2018-05-02 00:06:59,9074.5
2018-05-02 00:07:55,9075
2018-05-02 00:08:59,9075
2018-05-02 00:09:59,9074.5
2018-05-02 00:10:59,9077
2018-05-02 00:11:57,9077.5
2018-05-02 00:12:59,9080
2018-05-02 00:13:59,9082
2018-05-02 00:14:59,9085
2018-05-02 00:15:58,9084.5
2018-05-02 00:16:59,9091
2018-05-02 00:17:59,9088
2018-05-02 00:18:59,9086.5
2018-05-02 00:19:57,9089
2018-05-02 00:20:59,9085
2018-05-02 00:21:59,9083.5
2018-05-02 00:22:59,9081.5
2018-05-02 00:23:59,9072
2018-05-02 00:24:59,9075.5
2018-05-02 00:25:58,9069
2018-05-02 00:26:59,9069
2018-05-02 00:27:58,9069.5
2018-05-02 00:28:59,9073
2018-05-02 00:29:58,9074.5
2018-05-02 00:30:59,9074
2018-05-02 00:31:59,9067
2018-05-02 00:32:55,9066
2018-05-02 00:33:58,9067.5
2018-05-02 00:34:57,9067.5
2018-05-02 00:35:59,9058.5
2018-05-02 00:36:57,9057.5
2018-05-02 00:37:59,9064.5
2018-05-02 00:38:57,9064.5
2018-05-02 00:39:57,9064
2018-05-02 00:40:58,9060.5
2018-05-02 00:41:59,9055
2018-05-02 00:42:59,9051
2018-05-02 00:43:59,9054.5
2018-05-02 00:44:59,9046
2018-05-02 00:45:59,9042
2018-05-02 00:46:59,9033
2018-05-02 00:47:59,9035
2018-05-02 00:48:59,9022
2018-05-02 00:49:59,9021.5
2018-05-02 00:50:59,9028
2018-05-02 00:51:59,9027
2018-05-02 00:52:58,9012.5
2018-05-02 00:53:59,9014
2018-05-02 00:54:59,9018.5
2018-05-02 00:55:59,9025.5
2018-05-02 00:56:59,9026
2018-05-02 00:57:58,9027.5
2018-05-02 00:58:59,9030
2018-05-02 00:59:58,9029.5
2018-05-02 01:00:59,9022
2018-05-02 01:01:59,9019.5
2018-05-02 01:02:59,9013
2018-05-02 01:03:58,9010
2018-05-02 01:04:58,9023
2018-05-02 01:05:58,9020
2018-05-02 01:06:59,9021
2018-05-02 01:07:59,9025.5
2018-05-02 01:08:57,9018
2018-05-02 01:09:59,9012
2018-05-02 01:10:57,9012
2018-05-02 01:11:59,9014.5
2018-05-02 01:12:58,9020.5
2018-05-02 01:13:58,9021
2018-05-02 01:14:59,9021
2018-05-02 01:15:57,9017.5
2018-05-02 01:16:59,9017
2018-05-02 01:17:58,9017.5
2018-05-02 01:18:55,9018
2018-05-02 01:19:58,9014
2018-05-02 01:20:59,9006
2018-05-02 01:21:58,9004.5
2018-05-02 01:22:59,9012.5
2018-05-02 01:23:59,8992
2018-05-02 01:24:59,8993
2018-05-02 01:25:59,8981.5
2018-05-02 01:26:59,8986.5
2018-05-02 01:27:59,8982
2018-05-02 01:28:59,8992
2018-05-02 01:29:59,9003
2018-05-02 01:30:59,9004
2018-05-02 01:31:59,8997
2018-05-02 01:32:59,9000
2018-05-02 01:33:59,9010
2018-05-02 01:34:59,9008
2018-05-02 01:35:59,9018
2018-05-02 01:36:59,9018
2018-05-02 01:37:59,9017
2018-05-02 01:38:59,9020
2018-05-02 01:39:58,9027
2018-05-02 01:40:59,9020.5
2018-05-02 01:41:58,9020
2018-05-02 01:42:57,9020
2018-05-02 01:43:59,9018.5
2018-05-02 01:44:59,9009
2018-05-02 01:45:59,9013
2018-05-02 01:46:58,9019
2018-05-02 01:47:57,9024.5
2018-05-02 01:48:59,9026.5
2018-05-02 01:49:59,9025.5
2018-05-02 01:50:59,9025
2018-05-02 01:51:56,9022.5
2018-05-02 01:52:59,9025.5
2018-05-02 01:53:59,9025
2018-05-02 01:54:59,9021
2018-05-02 01:55:57,9020
2018-05-02 01:56:58,9018
2018-05-02 01:57:57,9022
2018-05-02 01:58:59,9022.5
2018-05-02 01:59:59,9022.5
2018-05-02 02:00:56,9023.5
2018-05-02 02:01:59,9024
2018-05-02 02:02:59,9039
2018-05-02 02:03:59,9037.5
2018-05-02 02:04:59,9044
2018-05-02 02:05:59,9039.5
2018-05-02 02:06:59,9040.5
2018-05-02 02:07:57,9043
2018-05-02 02:08:59,9042
2018-05-02 02:09:58,9042
2018-05-02 02:10:58,9035
2018-05-02 02:11:59,9034.5
2018-05-02 02:12:59,9033
2018-05-02 02:13:58,9032.5
2018-05-02 02:14:59,9030.5
2018-05-02 02:15:58,9030
2018-05-02 02:16:59,9029.5
2018-05-02 02:17:59,9024
2018-05-02 02:18:56,9027.5
2018-05-02 02:19:59,9029.5
2018-05-02 02:20:59,9024
2018-05-02 02:21:59,9023.5
2018-05-02 02:22:59,9021.5
2018-05-02 02:23:59,9013.5
2018-05-02 02:24:58,9017.5
2018-05-02 02:25:58,9013.5
2018-05-02 02:26:58,9018
2018-05-02 02:27:58,9017.5
2018-05-02 02:28:58,9017
2018-05-02 02:29:56,9017
2018-05-02 02:30:58,9017
2018-05-02 02:31:55,9017.5
2018-05-02 02:32:59,9017.5
2018-05-02 02:33:59,9020
2018-05-02 02:34:47,9020.5
2018-05-02 02:35:59,9028.5
2018-05-02 02:36:55,9029
2018-05-02 02:37:57,9032.5
2018-05-02 02:38:52,9028
