"Index","Price"
2018-04-18 00:00:59,7876
2018-04-18 00:01:59,7882
2018-04-18 00:02:59,7882.5
2018-04-18 00:03:59,7882
2018-04-18 00:04:59,7895.5
2018-04-18 00:05:59,7894.5
2018-04-18 00:06:57,7894.5
2018-04-18 00:07:59,7894.5
2018-04-18 00:08:59,7900
2018-04-18 00:09:59,7910
2018-04-18 00:10:59,7902.5
2018-04-18 00:11:59,7903
2018-04-18 00:12:59,7913.5
2018-04-18 00:13:59,7910.5
2018-04-18 00:14:58,7905
2018-04-18 00:15:59,7905
2018-04-18 00:16:59,7905
2018-04-18 00:17:59,7910
2018-04-18 00:18:59,7911
2018-04-18 00:19:59,7915.5
2018-04-18 00:20:59,7912
2018-04-18 00:21:59,7912.5
2018-04-18 00:22:59,7912.5
2018-04-18 00:23:59,7912.5
2018-04-18 00:24:59,7913
2018-04-18 00:25:57,7912.5
2018-04-18 00:26:57,7913
2018-04-18 00:27:59,7912.5
2018-04-18 00:28:59,7913
2018-04-18 00:29:59,7908.5
2018-04-18 00:30:59,7906
2018-04-18 00:31:59,7904.5
2018-04-18 00:32:59,7909.5
2018-04-18 00:33:58,7910
2018-04-18 00:34:59,7908
2018-04-18 00:35:59,7910
2018-04-18 00:36:59,7916
2018-04-18 00:37:59,7915
2018-04-18 00:38:59,7910
2018-04-18 00:39:59,7909
2018-04-18 00:40:59,7909
2018-04-18 00:41:59,7910.5
2018-04-18 00:42:59,7911
2018-04-18 00:43:59,7911
2018-04-18 00:44:59,7911
2018-04-18 00:45:59,7913.5
2018-04-18 00:46:56,7914
2018-04-18 00:47:59,7910
2018-04-18 00:48:59,7906
2018-04-18 00:49:57,7908
2018-04-18 00:50:54,7908.5
2018-04-18 00:51:59,7908.5
2018-04-18 00:52:58,7908.5
2018-04-18 00:53:54,7908.5
2018-04-18 00:54:56,7909
2018-04-18 00:55:59,7908.5
2018-04-18 00:56:59,7908
2018-04-18 00:57:59,7908.5
2018-04-18 00:58:59,7910
2018-04-18 00:59:57,7913.5
2018-04-18 01:00:59,7918
2018-04-18 01:01:59,7918
2018-04-18 01:02:59,7923.5
2018-04-18 01:03:59,7916.5
2018-04-18 01:04:59,7915
2018-04-18 01:05:58,7915
2018-04-18 01:06:56,7915
2018-04-18 01:07:59,7915
2018-04-18 01:08:58,7915.5
2018-04-18 01:09:58,7915.5
2018-04-18 01:10:59,7923.5
2018-04-18 01:11:59,7934.5
2018-04-18 01:12:59,7930
2018-04-18 01:13:59,7932.5
2018-04-18 01:14:59,7929
2018-04-18 01:15:59,7922
2018-04-18 01:16:59,7927
2018-04-18 01:17:59,7927
2018-04-18 01:18:59,7924
2018-04-18 01:19:59,7924.5
2018-04-18 01:20:59,7924
2018-04-18 01:21:59,7924
2018-04-18 01:22:59,7925.5
2018-04-18 01:23:59,7929
2018-04-18 01:24:59,7929.5
2018-04-18 01:25:59,7929
2018-04-18 01:26:59,7929
2018-04-18 01:27:59,7930
2018-04-18 01:28:59,7933
2018-04-18 01:29:59,7933
2018-04-18 01:30:59,7934.5
2018-04-18 01:31:59,7927
2018-04-18 01:32:59,7926.5
2018-04-18 01:33:59,7921.5
2018-04-18 01:34:59,7921
2018-04-18 01:35:59,7919
2018-04-18 01:36:58,7919
2018-04-18 01:37:57,7923
2018-04-18 01:38:59,7924
2018-04-18 01:39:58,7923.5
2018-04-18 01:40:57,7925
2018-04-18 01:41:58,7926
2018-04-18 01:42:58,7926.5
2018-04-18 01:43:59,7927.5
2018-04-18 01:44:59,7927.5
2018-04-18 01:45:59,7927
2018-04-18 01:46:58,7925.5
2018-04-18 01:47:55,7923.5
2018-04-18 01:48:57,7923.5
2018-04-18 01:49:54,7923.5
2018-04-18 01:50:58,7924.5
2018-04-18 01:51:58,7928
2018-04-18 01:52:59,7928
2018-04-18 01:53:59,7928
2018-04-18 01:54:59,7928
2018-04-18 01:55:59,7925
2018-04-18 01:56:58,7925
2018-04-18 01:57:56,7925
2018-04-18 01:58:57,7926.5
2018-04-18 01:59:59,7927.5
2018-04-18 02:00:58,7928
2018-04-18 02:01:59,7927.5
2018-04-18 02:02:57,7927.5
2018-04-18 02:03:59,7929
2018-04-18 02:04:59,7929
2018-04-18 02:05:58,7929.5
2018-04-18 02:06:58,7929
2018-04-18 02:07:56,7929.5
2018-04-18 02:08:59,7932
2018-04-18 02:09:59,7933.5
2018-04-18 02:10:58,7933.5
2018-04-18 02:11:59,7933
