"Index","Price"
2018-06-29 00:00:59,5861.5
2018-06-29 00:01:59,5880
2018-06-29 00:02:59,5882.5
2018-06-29 00:03:59,5875.5
2018-06-29 00:04:59,5877
2018-06-29 00:05:59,5881
2018-06-29 00:06:59,5880.5
2018-06-29 00:07:59,5876
2018-06-29 00:08:59,5875
2018-06-29 00:09:59,5872.5
2018-06-29 00:10:59,5888
2018-06-29 00:11:59,5884
2018-06-29 00:12:59,5883
2018-06-29 00:13:59,5895
2018-06-29 00:14:59,5896
2018-06-29 00:15:59,5886.5
2018-06-29 00:16:59,5884.5
2018-06-29 00:17:59,5884
2018-06-29 00:18:58,5883.5
2018-06-29 00:19:59,5890
2018-06-29 00:20:58,5893.5
2018-06-29 00:21:59,5887
2018-06-29 00:22:59,5880.5
2018-06-29 00:23:59,5870.5
2018-06-29 00:24:59,5866.5
2018-06-29 00:25:59,5871.5
2018-06-29 00:26:59,5868.5
2018-06-29 00:27:59,5870
2018-06-29 00:28:59,5870
2018-06-29 00:29:59,5867
2018-06-29 00:30:56,5871.5
2018-06-29 00:31:57,5878.5
2018-06-29 00:32:58,5875
2018-06-29 00:33:59,5875
2018-06-29 00:34:59,5876
2018-06-29 00:35:59,5874.5
2018-06-29 00:36:59,5872
2018-06-29 00:37:59,5871.5
2018-06-29 00:38:59,5863
2018-06-29 00:39:59,5872
2018-06-29 00:40:58,5869
2018-06-29 00:41:59,5874.5
2018-06-29 00:42:59,5874
2018-06-29 00:43:59,5878
2018-06-29 00:44:58,5880
2018-06-29 00:45:57,5882
2018-06-29 00:46:58,5881.5
2018-06-29 00:47:59,5882
2018-06-29 00:48:59,5877.5
2018-06-29 00:49:59,5880
2018-06-29 00:50:58,5881
2018-06-29 00:51:59,5877
2018-06-29 00:52:59,5876.5
2018-06-29 00:53:59,5863.5
2018-06-29 00:54:59,5868
2018-06-29 00:55:58,5867.5
2018-06-29 00:56:59,5868
2018-06-29 00:57:59,5877.5
2018-06-29 00:58:58,5886
2018-06-29 00:59:59,5881
2018-06-29 01:00:59,5878
2018-06-29 01:01:59,5882.5
2018-06-29 01:02:59,5885.5
2018-06-29 01:03:59,5885
2018-06-29 01:04:57,5886
2018-06-29 01:05:59,5886.5
2018-06-29 01:06:58,5889
2018-06-29 01:07:59,5888.5
2018-06-29 01:08:59,5882.5
2018-06-29 01:09:58,5881.5
2018-06-29 01:10:59,5879
2018-06-29 01:11:59,5878.5
2018-06-29 01:12:59,5879
2018-06-29 01:13:59,5875.5
2018-06-29 01:14:59,5861
2018-06-29 01:15:59,5868
2018-06-29 01:16:59,5869.5
2018-06-29 01:17:58,5870
2018-06-29 01:18:59,5871
2018-06-29 01:19:59,5870.5
2018-06-29 01:20:59,5872.5
2018-06-29 01:21:59,5872.5
2018-06-29 01:22:58,5870
2018-06-29 01:23:58,5867.5
2018-06-29 01:24:59,5872.5
2018-06-29 01:25:59,5872.5
2018-06-29 01:26:57,5870
2018-06-29 01:27:56,5869.5
2018-06-29 01:28:59,5870
2018-06-29 01:29:57,5873
2018-06-29 01:30:59,5873.5
2018-06-29 01:31:59,5874.5
2018-06-29 01:32:59,5861.5
2018-06-29 01:33:59,5858
2018-06-29 01:34:59,5855.5
2018-06-29 01:35:59,5858.5
2018-06-29 01:36:59,5855
2018-06-29 01:37:59,5853
2018-06-29 01:38:59,5855.5
2018-06-29 01:39:59,5860
2018-06-29 01:40:58,5860
2018-06-29 01:41:59,5857
2018-06-29 01:42:59,5859
2018-06-29 01:43:59,5869
2018-06-29 01:44:58,5865
2018-06-29 01:45:59,5865
2018-06-29 01:46:59,5865.5
2018-06-29 01:47:59,5863.5
2018-06-29 01:48:57,5862
2018-06-29 01:49:59,5857
2018-06-29 01:50:59,5855
2018-06-29 01:51:59,5854.5
2018-06-29 01:52:59,5863
2018-06-29 01:53:59,5860
2018-06-29 01:54:58,5858.5
2018-06-29 01:55:58,5861.5
2018-06-29 01:56:54,5866
2018-06-29 01:57:58,5865
2018-06-29 01:58:55,5863
