"Index","Price"
2018-04-14 00:00:59,7894.5
2018-04-14 00:01:59,7882
2018-04-14 00:02:59,7861
2018-04-14 00:03:59,7876
2018-04-14 00:04:59,7876
2018-04-14 00:05:59,7877
2018-04-14 00:06:59,7858
2018-04-14 00:07:59,7860.5
2018-04-14 00:08:59,7865
2018-04-14 00:09:59,7865
2018-04-14 00:10:59,7862
2018-04-14 00:11:59,7861
2018-04-14 00:12:59,7835.5
2018-04-14 00:13:59,7857
2018-04-14 00:14:59,7864
2018-04-14 00:15:59,7876.5
2018-04-14 00:16:58,7886.5
2018-04-14 00:17:59,7877
2018-04-14 00:18:59,7887.5
2018-04-14 00:19:59,7886
2018-04-14 00:20:59,7902
2018-04-14 00:21:59,7919
2018-04-14 00:22:59,7906
2018-04-14 00:23:59,7888
2018-04-14 00:24:59,7898.5
2018-04-14 00:25:59,7888
2018-04-14 00:26:59,7880.5
2018-04-14 00:27:59,7877
2018-04-14 00:28:59,7874
2018-04-14 00:29:59,7882.5
2018-04-14 00:30:59,7886
2018-04-14 00:31:59,7888
2018-04-14 00:32:59,7883
2018-04-14 00:33:59,7882.5
2018-04-14 00:34:59,7872.5
2018-04-14 00:35:59,7877
2018-04-14 00:36:59,7876.5
2018-04-14 00:37:59,7877
2018-04-14 00:38:59,7880
2018-04-14 00:39:59,7884
2018-04-14 00:40:57,7887
2018-04-14 00:41:59,7894.5
2018-04-14 00:42:59,7883.5
2018-04-14 00:43:58,7882
2018-04-14 00:44:58,7879
2018-04-14 00:45:58,7888.5
2018-04-14 00:46:59,7899.5
2018-04-14 00:47:59,7901
2018-04-14 00:48:59,7911
2018-04-14 00:49:59,7904.5
2018-04-14 00:50:59,7896.5
2018-04-14 00:51:59,7904
2018-04-14 00:52:59,7910.5
2018-04-14 00:53:59,7924
2018-04-14 00:54:59,7927.5
2018-04-14 00:55:59,7922
2018-04-14 00:56:59,7913
2018-04-14 00:57:59,7910.5
2018-04-14 00:58:59,7919
