"Index","Price"
2018-05-17 00:00:59,8339
2018-05-17 00:01:59,8344.5
2018-05-17 00:02:59,8351
2018-05-17 00:03:58,8354
2018-05-17 00:04:59,8350.5
2018-05-17 00:05:59,8349.5
2018-05-17 00:06:59,8354.5
2018-05-17 00:07:59,8378.5
2018-05-17 00:08:59,8370
2018-05-17 00:09:59,8396
2018-05-17 00:10:59,8375.5
2018-05-17 00:11:59,8381.5
2018-05-17 00:12:59,8392
2018-05-17 00:13:59,8378
2018-05-17 00:14:59,8387.5
2018-05-17 00:15:58,8388
2018-05-17 00:16:59,8365.5
2018-05-17 00:17:59,8367
2018-05-17 00:18:59,8365.5
2018-05-17 00:19:59,8353.5
2018-05-17 00:20:59,8357.5
2018-05-17 00:21:59,8350.5
2018-05-17 00:22:59,8357
2018-05-17 00:23:59,8350.5
2018-05-17 00:24:59,8357.5
2018-05-17 00:25:59,8352
2018-05-17 00:26:59,8352.5
2018-05-17 00:27:59,8347
2018-05-17 00:28:59,8333
2018-05-17 00:29:59,8328
2018-05-17 00:30:58,8333
2018-05-17 00:31:59,8345
2018-05-17 00:32:59,8347.5
2018-05-17 00:33:59,8346
2018-05-17 00:34:59,8353
2018-05-17 00:35:57,8359
2018-05-17 00:36:59,8352
2018-05-17 00:37:59,8352
2018-05-17 00:38:59,8359.5
2018-05-17 00:39:57,8353.5
2018-05-17 00:40:59,8358.5
2018-05-17 00:41:59,8351
2018-05-17 00:42:59,8347.5
2018-05-17 00:43:59,8354
2018-05-17 00:44:59,8355
2018-05-17 00:45:58,8355.5
2018-05-17 00:46:58,8351
2018-05-17 00:47:59,8348
2018-05-17 00:48:59,8350
2018-05-17 00:49:57,8350.5
2018-05-17 00:50:59,8352.5
2018-05-17 00:51:58,8353
2018-05-17 00:52:59,8346.5
2018-05-17 00:53:59,8352.5
2018-05-17 00:54:58,8353
2018-05-17 00:55:58,8352.5
2018-05-17 00:56:57,8353
2018-05-17 00:57:54,8352.5
2018-05-17 00:58:58,8348
2018-05-17 00:59:59,8347.5
2018-05-17 01:00:57,8348.5
2018-05-17 01:01:59,8358
2018-05-17 01:02:59,8358.5
2018-05-17 01:03:59,8364
2018-05-17 01:04:59,8366.5
2018-05-17 01:05:59,8366
2018-05-17 01:06:58,8359
2018-05-17 01:07:59,8352.5
2018-05-17 01:08:59,8350
2018-05-17 01:09:59,8349
2018-05-17 01:10:58,8348.5
2018-05-17 01:11:59,8349
2018-05-17 01:12:59,8328
2018-05-17 01:13:59,8329
2018-05-17 01:14:59,8330
2018-05-17 01:15:59,8333
2018-05-17 01:16:59,8330
2018-05-17 01:17:59,8327
2018-05-17 01:18:59,8336
2018-05-17 01:19:56,8336
2018-05-17 01:20:59,8330.5
2018-05-17 01:21:59,8335.5
2018-05-17 01:22:59,8340
2018-05-17 01:23:59,8340.5
2018-05-17 01:24:59,8343.5
2018-05-17 01:25:38,8343
2018-05-17 01:26:58,8343
2018-05-17 01:27:55,8349
2018-05-17 01:28:59,8349
2018-05-17 01:29:59,8348.5
2018-05-17 01:30:58,8331.5
2018-05-17 01:31:58,8332.5
2018-05-17 01:32:58,8333
2018-05-17 01:33:58,8330
2018-05-17 01:34:59,8328.5
2018-05-17 01:35:59,8315.5
2018-05-17 01:36:59,8327.5
2018-05-17 01:37:59,8324
2018-05-17 01:38:58,8325.5
2018-05-17 01:39:59,8330
2018-05-17 01:40:58,8334
2018-05-17 01:41:59,8341.5
2018-05-17 01:42:59,8337
2018-05-17 01:43:58,8337
2018-05-17 01:44:59,8373
2018-05-17 01:45:59,8357
2018-05-17 01:46:59,8352
2018-05-17 01:47:59,8364
2018-05-17 01:48:59,8354.5
2018-05-17 01:49:59,8352.5
2018-05-17 01:50:59,8357
2018-05-17 01:51:59,8356
2018-05-17 01:52:59,8362.5
2018-05-17 01:53:59,8353
2018-05-17 01:54:59,8354.5
2018-05-17 01:55:57,8357.5
2018-05-17 01:56:59,8351
2018-05-17 01:57:59,8356
2018-05-17 01:58:59,8360
2018-05-17 01:59:58,8361.5
2018-05-17 02:00:59,8368
2018-05-17 02:01:58,8367
2018-05-17 02:02:59,8370
2018-05-17 02:03:59,8383
2018-05-17 02:04:59,8375
2018-05-17 02:05:58,8381.5
2018-05-17 02:06:59,8384
2018-05-17 02:07:58,8371
2018-05-17 02:08:59,8374.5
2018-05-17 02:09:59,8373.5
2018-05-17 02:10:59,8391
2018-05-17 02:11:59,8375.5
2018-05-17 02:12:58,8383.5
2018-05-17 02:13:59,8381
2018-05-17 02:14:59,8375
2018-05-17 02:15:59,8370.5
2018-05-17 02:16:59,8372.5
2018-05-17 02:17:59,8371.5
2018-05-17 02:18:59,8371
2018-05-17 02:19:59,8361.5
2018-05-17 02:20:59,8361.5
2018-05-17 02:21:58,8368
2018-05-17 02:22:59,8361.5
2018-05-17 02:23:58,8362
2018-05-17 02:24:59,8365
2018-05-17 02:25:58,8373.5
2018-05-17 02:26:59,8374
2018-05-17 02:27:59,8376
2018-05-17 02:28:59,8378
2018-05-17 02:29:59,8368
2018-05-17 02:30:59,8367
2018-05-17 02:31:59,8370.5
2018-05-17 02:32:59,8371.5
2018-05-17 02:33:59,8369.5
2018-05-17 02:34:59,8367.5
2018-05-17 02:35:59,8371.5
2018-05-17 02:36:57,8371
2018-05-17 02:37:56,8369.5
2018-05-17 02:38:59,8368.5
2018-05-17 02:39:58,8366.5
2018-05-17 02:40:57,8366
2018-05-17 02:41:58,8360
2018-05-17 02:42:58,8363.5
2018-05-17 02:43:58,8358
2018-05-17 02:44:59,8355
2018-05-17 02:45:59,8366
2018-05-17 02:46:56,8360
2018-05-17 02:47:58,8359
2018-05-17 02:48:58,8357
2018-05-17 02:49:59,8360.5
2018-05-17 02:50:59,8356.5
2018-05-17 02:51:58,8364
2018-05-17 02:52:59,8365.5
2018-05-17 02:53:58,8362.5
2018-05-17 02:54:59,8362.5
2018-05-17 02:55:57,8362.5
2018-05-17 02:56:59,8348
2018-05-17 02:57:59,8358
2018-05-17 02:58:58,8362.5
2018-05-17 02:59:59,8368.5
2018-05-17 03:00:59,8366
2018-05-17 03:01:59,8368.5
2018-05-17 03:02:59,8371.5
2018-05-17 03:03:58,8372
2018-05-17 03:04:58,8371.5
2018-05-17 03:05:59,8372
2018-05-17 03:06:56,8374.5
2018-05-17 03:07:59,8474
2018-05-17 03:08:59,8437.5
2018-05-17 03:09:59,8426
2018-05-17 03:10:59,8425
2018-05-17 03:11:59,8410.5
2018-05-17 03:12:59,8417
2018-05-17 03:13:59,8408
2018-05-17 03:14:59,8408
2018-05-17 03:15:59,8405.5
2018-05-17 03:16:59,8403.5
2018-05-17 03:17:59,8406.5
2018-05-17 03:18:59,8399.5
2018-05-17 03:19:59,8395
2018-05-17 03:20:59,8389.5
2018-05-17 03:21:59,8382.5
2018-05-17 03:22:59,8388.5
2018-05-17 03:23:59,8380
2018-05-17 03:24:59,8376
2018-05-17 03:25:59,8386
2018-05-17 03:26:59,8378.5
2018-05-17 03:27:59,8380
2018-05-17 03:28:59,8384.5
2018-05-17 03:29:59,8382
2018-05-17 03:30:59,8381.5
2018-05-17 03:31:59,8364
2018-05-17 03:32:59,8367.5
2018-05-17 03:33:59,8357.5
2018-05-17 03:34:59,8365
2018-05-17 03:35:58,8366
2018-05-17 03:36:59,8360.5
2018-05-17 03:37:58,8361.5
2018-05-17 03:38:58,8363.5
2018-05-17 03:39:57,8361.5
2018-05-17 03:40:59,8348
2018-05-17 03:41:59,8358
2018-05-17 03:42:59,8353
2018-05-17 03:43:59,8360.5
2018-05-17 03:44:57,8360.5
2018-05-17 03:45:59,8361
2018-05-17 03:46:59,8361.5
2018-05-17 03:47:59,8364.5
2018-05-17 03:48:59,8366.5
2018-05-17 03:49:59,8363
2018-05-17 03:50:59,8355
2018-05-17 03:51:59,8332.5
2018-05-17 03:52:58,8349
2018-05-17 03:53:59,8351.5
2018-05-17 03:54:59,8350.5
2018-05-17 03:55:59,8351
2018-05-17 03:56:59,8359.5
2018-05-17 03:57:59,8338
2018-05-17 03:58:59,8350.5
2018-05-17 03:59:59,8359.5
2018-05-17 04:00:59,8355.5
2018-05-17 04:01:59,8361
2018-05-17 04:02:59,8362
2018-05-17 04:03:58,8357
2018-05-17 04:04:58,8356.5
2018-05-17 04:05:55,8356
2018-05-17 04:06:58,8356
2018-05-17 04:07:59,8338
2018-05-17 04:08:59,8346
2018-05-17 04:09:58,8347.5
2018-05-17 04:10:56,8352
2018-05-17 04:11:58,8356
2018-05-17 04:12:59,8352
2018-05-17 04:13:59,8346.5
2018-05-17 04:14:58,8346.5
2018-05-17 04:15:59,8368.5
2018-05-17 04:16:58,8360.5
2018-05-17 04:17:57,8366
2018-05-17 04:18:56,8364.5
2018-05-17 04:19:55,8364.5
2018-05-17 04:20:59,8364.5
2018-05-17 04:21:59,8367.5
2018-05-17 04:22:59,8362
2018-05-17 04:23:59,8364.5
2018-05-17 04:24:59,8369.5
2018-05-17 04:25:58,8365.5
2018-05-17 04:26:57,8366
2018-05-17 04:27:59,8357.5
2018-05-17 04:28:59,8361.5
2018-05-17 04:29:59,8366
2018-05-17 04:30:59,8368
2018-05-17 04:31:57,8367.5
2018-05-17 04:32:58,8365.5
2018-05-17 04:33:57,8368.5
2018-05-17 04:34:58,8365.5
2018-05-17 04:35:56,8366
2018-05-17 04:36:57,8364.5
2018-05-17 04:37:56,8365
2018-05-17 04:38:58,8365
