"Index","Price"
2018-04-11 00:00:56,6824.5
2018-04-11 00:01:58,6824
2018-04-11 00:02:58,6827
2018-04-11 00:03:59,6831
2018-04-11 00:04:59,6834
2018-04-11 00:05:59,6832
2018-04-11 00:06:59,6832
2018-04-11 00:07:59,6829.5
2018-04-11 00:08:59,6825
2018-04-11 00:09:59,6824.5
2018-04-11 00:10:59,6830
2018-04-11 00:11:59,6841
2018-04-11 00:12:59,6833.5
2018-04-11 00:13:58,6835
2018-04-11 00:14:59,6835.5
2018-04-11 00:15:58,6835
2018-04-11 00:16:58,6831
2018-04-11 00:17:59,6829
2018-04-11 00:18:59,6823.5
2018-04-11 00:19:59,6826
2018-04-11 00:20:59,6822.5
2018-04-11 00:21:59,6823.5
2018-04-11 00:22:59,6826
2018-04-11 00:23:59,6832
2018-04-11 00:24:59,6834
2018-04-11 00:25:59,6832
2018-04-11 00:26:59,6827.5
2018-04-11 00:27:59,6830
2018-04-11 00:28:59,6832
2018-04-11 00:29:57,6832.5
2018-04-11 00:30:56,6832.5
2018-04-11 00:31:59,6831.5
2018-04-11 00:32:55,6832
2018-04-11 00:33:57,6831.5
2018-04-11 00:34:57,6831.5
2018-04-11 00:35:58,6832.5
2018-04-11 00:36:59,6833.5
2018-04-11 00:37:59,6834
2018-04-11 00:38:59,6835
2018-04-11 00:39:59,6849
2018-04-11 00:40:59,6838.5
2018-04-11 00:41:59,6840
2018-04-11 00:42:58,6839
2018-04-11 00:43:55,6839
2018-04-11 00:44:59,6839.5
2018-04-11 00:45:59,6840
2018-04-11 00:46:57,6833
2018-04-11 00:47:51,6836.5
2018-04-11 00:48:59,6837
2018-04-11 00:49:59,6837
2018-04-11 00:50:59,6840
2018-04-11 00:51:59,6837
2018-04-11 00:52:59,6837
2018-04-11 00:53:59,6832.5
2018-04-11 00:54:58,6832.5
2018-04-11 00:55:58,6833
2018-04-11 00:56:57,6833.5
2018-04-11 00:57:56,6836.5
2018-04-11 00:58:58,6840
2018-04-11 00:59:56,6841
2018-04-11 01:00:58,6836.5
2018-04-11 01:01:59,6836.5
2018-04-11 01:02:59,6834.5
2018-04-11 01:03:58,6832
2018-04-11 01:04:59,6831
2018-04-11 01:05:56,6831
2018-04-11 01:06:59,6826
2018-04-11 01:07:57,6827.5
2018-04-11 01:08:56,6828
2018-04-11 01:09:58,6825
2018-04-11 01:10:59,6824
2018-04-11 01:11:59,6824.5
2018-04-11 01:12:58,6825.5
2018-04-11 01:13:59,6827.5
2018-04-11 01:14:59,6827.5
2018-04-11 01:15:58,6827
2018-04-11 01:16:59,6827.5
2018-04-11 01:17:57,6826
2018-04-11 01:18:58,6825
2018-04-11 01:19:59,6822.5
2018-04-11 01:20:59,6822
2018-04-11 01:21:58,6825
2018-04-11 01:22:57,6823.5
2018-04-11 01:23:57,6821
2018-04-11 01:24:56,6821
2018-04-11 01:25:58,6823.5
2018-04-11 01:26:59,6825
2018-04-11 01:27:53,6825
2018-04-11 01:28:59,6829.5
2018-04-11 01:29:59,6831.5
2018-04-11 01:30:59,6832
2018-04-11 01:31:55,6830.5
2018-04-11 01:32:58,6829.5
2018-04-11 01:33:56,6826
2018-04-11 01:34:57,6826.5
2018-04-11 01:35:59,6829
2018-04-11 01:36:57,6828.5
2018-04-11 01:37:55,6827.5
2018-04-11 01:38:57,6827
2018-04-11 01:39:56,6826.5
2018-04-11 01:40:59,6824.5
2018-04-11 01:41:52,6825
2018-04-11 01:42:57,6825
2018-04-11 01:43:58,6824.5
2018-04-11 01:44:56,6824.5
2018-04-11 01:45:58,6825
2018-04-11 01:46:55,6824.5
2018-04-11 01:47:55,6824.5
2018-04-11 01:48:59,6825
2018-04-11 01:49:58,6825.5
2018-04-11 01:50:59,6825.5
2018-04-11 01:51:58,6825.5
2018-04-11 01:52:58,6832.5
2018-04-11 01:53:59,6834.5
2018-04-11 01:54:59,6839
2018-04-11 01:55:59,6837.5
2018-04-11 01:56:59,6835
2018-04-11 01:57:58,6836
