"Index","Price"
2019-09-17 00:00:59,10271
2019-09-17 00:01:59,10275
2019-09-17 00:02:57,10275
2019-09-17 00:03:59,10250
2019-09-17 00:04:58,10249
2019-09-17 00:05:59,10248.5
2019-09-17 00:06:59,10252
2019-09-17 00:07:59,10249
2019-09-17 00:08:59,10249
2019-09-17 00:09:59,10251
2019-09-17 00:10:58,10248
2019-09-17 00:11:59,10248
2019-09-17 00:12:59,10245
2019-09-17 00:13:58,10245
2019-09-17 00:14:57,10245.5
2019-09-17 00:15:59,10245.5
2019-09-17 00:16:59,10247
2019-09-17 00:17:58,10256
2019-09-17 00:18:58,10258
2019-09-17 00:19:58,10257.5
2019-09-17 00:20:59,10255
2019-09-17 00:21:59,10255.5
2019-09-17 00:22:55,10255.5
2019-09-17 00:23:59,10255
2019-09-17 00:24:59,10255
2019-09-17 00:25:59,10258.5
2019-09-17 00:26:59,10250
2019-09-17 00:27:59,10245.5
2019-09-17 00:28:57,10246
2019-09-17 00:29:59,10251
2019-09-17 00:30:59,10248
2019-09-17 00:31:52,10248.5
2019-09-17 00:32:59,10248.5
2019-09-17 00:33:59,10259
2019-09-17 00:34:55,10257.5
2019-09-17 00:35:53,10258
2019-09-17 00:36:53,10258
2019-09-17 00:37:54,10257.5
2019-09-17 00:38:59,10257.5
2019-09-17 00:39:58,10254.5
2019-09-17 00:40:59,10253.5
2019-09-17 00:41:55,10254
2019-09-17 00:42:55,10252
2019-09-17 00:43:58,10252
2019-09-17 00:44:55,10253.5
2019-09-17 00:45:59,10251.5
2019-09-17 00:46:59,10221.5
2019-09-17 00:47:59,10230
2019-09-17 00:48:59,10236
2019-09-17 00:49:59,10233
2019-09-17 00:50:59,10226
2019-09-17 00:51:59,10230.5
2019-09-17 00:52:59,10236
2019-09-17 00:53:58,10230
2019-09-17 00:54:59,10233
2019-09-17 00:55:56,10224
2019-09-17 00:56:59,10201
2019-09-17 00:57:59,10219
2019-09-17 00:58:58,10218.5
2019-09-17 00:59:59,10225
2019-09-17 01:00:58,10235
2019-09-17 01:01:57,10235
2019-09-17 01:02:59,10233
2019-09-17 01:03:59,10224
2019-09-17 01:04:59,10228
2019-09-17 01:05:59,10232.5
2019-09-17 01:06:59,10220
