"Index","Price"
2019-10-15 00:00:59,8366.5
2019-10-15 00:01:59,8371
2019-10-15 00:02:59,8374.5
2019-10-15 00:03:59,8378
2019-10-15 00:04:59,8372.5
2019-10-15 00:05:59,8375
2019-10-15 00:06:59,8374.5
2019-10-15 00:07:59,8371
2019-10-15 00:08:59,8371
2019-10-15 00:09:59,8368
2019-10-15 00:10:59,8364
2019-10-15 00:11:57,8363.5
2019-10-15 00:12:58,8360.5
2019-10-15 00:13:59,8368
2019-10-15 00:14:59,8368.5
2019-10-15 00:15:59,8376.5
2019-10-15 00:16:59,8377.5
2019-10-15 00:17:59,8387.5
2019-10-15 00:18:59,8396.5
2019-10-15 00:19:59,8395
2019-10-15 00:20:59,8394.5
2019-10-15 00:21:59,8388.5
2019-10-15 00:22:59,8384
2019-10-15 00:23:59,8386
2019-10-15 00:24:58,8383.5
2019-10-15 00:25:59,8382
2019-10-15 00:26:59,8375
2019-10-15 00:27:59,8376.5
2019-10-15 00:28:59,8381.5
2019-10-15 00:29:57,8381
2019-10-15 00:30:59,8384.5
2019-10-15 00:31:59,8385
2019-10-15 00:32:58,8387
2019-10-15 00:33:59,8383
2019-10-15 00:34:59,8376
2019-10-15 00:35:59,8373
2019-10-15 00:36:59,8373.5
2019-10-15 00:37:59,8358
2019-10-15 00:38:58,8364
2019-10-15 00:39:56,8367
2019-10-15 00:40:59,8359
2019-10-15 00:41:59,8365
2019-10-15 00:42:58,8363.5
2019-10-15 00:43:58,8361
2019-10-15 00:44:59,8365
2019-10-15 00:45:59,8365.5
2019-10-15 00:46:59,8371
2019-10-15 00:47:59,8373
2019-10-15 00:48:59,8374.5
2019-10-15 00:49:59,8377
2019-10-15 00:50:55,8376.5
2019-10-15 00:51:59,8377
2019-10-15 00:52:59,8376.5
2019-10-15 00:53:58,8377
2019-10-15 00:54:56,8377
2019-10-15 00:55:57,8365
2019-10-15 00:56:59,8362
2019-10-15 00:57:58,8363.5
2019-10-15 00:58:56,8362.5
2019-10-15 00:59:59,8361
2019-10-15 01:00:59,8356
2019-10-15 01:01:58,8356
2019-10-15 01:02:59,8355.5
2019-10-15 01:03:54,8360
2019-10-15 01:04:58,8362.5
2019-10-15 01:05:57,8363.5
2019-10-15 01:06:59,8360
2019-10-15 01:07:59,8357.5
2019-10-15 01:08:59,8355
2019-10-15 01:09:58,8353.5
2019-10-15 01:10:59,8353.5
2019-10-15 01:11:58,8353.5
2019-10-15 01:12:58,8354
2019-10-15 01:13:55,8353.5
2019-10-15 01:14:58,8353.5
2019-10-15 01:15:56,8353.5
2019-10-15 01:16:58,8353.5
2019-10-15 01:17:59,8358.5
2019-10-15 01:18:59,8355
2019-10-15 01:19:59,8354.5
2019-10-15 01:20:56,8352.5
2019-10-15 01:21:59,8347
2019-10-15 01:22:59,8343.5
2019-10-15 01:23:58,8342
2019-10-15 01:24:59,8340
2019-10-15 01:25:59,8340
2019-10-15 01:26:58,8339
2019-10-15 01:27:59,8339
2019-10-15 01:28:59,8342
2019-10-15 01:29:59,8350.5
2019-10-15 01:30:59,8351
2019-10-15 01:31:50,8351
2019-10-15 01:32:59,8351
2019-10-15 01:33:59,8345
2019-10-15 01:34:58,8342.5
2019-10-15 01:35:58,8342.5
2019-10-15 01:36:59,8335.5
2019-10-15 01:37:58,8339.5
