"Index","Price"
2019-11-15 00:00:58,8630
2019-11-15 00:01:59,8629.5
2019-11-15 00:02:59,8627.5
2019-11-15 00:03:59,8632.5
2019-11-15 00:04:58,8633.5
2019-11-15 00:05:59,8634.5
2019-11-15 00:06:59,8633.5
2019-11-15 00:07:59,8635
2019-11-15 00:08:59,8638
2019-11-15 00:09:58,8638.5
2019-11-15 00:10:58,8641
2019-11-15 00:11:59,8640.5
2019-11-15 00:12:55,8639.5
2019-11-15 00:13:57,8634
2019-11-15 00:14:56,8634.5
2019-11-15 00:15:59,8636.5
2019-11-15 00:16:59,8636.5
2019-11-15 00:17:58,8636
2019-11-15 00:18:59,8636
2019-11-15 00:19:59,8636
2019-11-15 00:20:58,8636
2019-11-15 00:21:57,8636
2019-11-15 00:22:58,8635.5
2019-11-15 00:23:58,8631.5
2019-11-15 00:24:59,8631.5
2019-11-15 00:25:59,8629
2019-11-15 00:26:59,8628
2019-11-15 00:27:56,8626
2019-11-15 00:28:54,8625.5
2019-11-15 00:29:59,8625.5
2019-11-15 00:30:59,8610
2019-11-15 00:31:59,8616.5
2019-11-15 00:32:59,8614
2019-11-15 00:33:58,8614
2019-11-15 00:34:52,8619.5
2019-11-15 00:35:58,8619.5
2019-11-15 00:36:53,8613.5
2019-11-15 00:37:59,8613.5
2019-11-15 00:38:57,8613.5
2019-11-15 00:39:56,8614
2019-11-15 00:40:55,8613.5
2019-11-15 00:41:58,8616
2019-11-15 00:42:57,8617
2019-11-15 00:43:59,8616.5
2019-11-15 00:44:58,8624.5
2019-11-15 00:45:59,8623
2019-11-15 00:46:59,8617
2019-11-15 00:47:47,8617
2019-11-15 00:48:59,8616.5
2019-11-15 00:49:58,8616.5
2019-11-15 00:50:59,8616.5
2019-11-15 00:51:59,8617
2019-11-15 00:52:57,8620.5
2019-11-15 00:53:59,8620.5
2019-11-15 00:54:59,8620
2019-11-15 00:55:59,8619
2019-11-15 00:56:58,8619.5
2019-11-15 00:57:59,8619
2019-11-15 00:58:49,8619
2019-11-15 00:59:59,8600
2019-11-15 01:00:59,8603.5
2019-11-15 01:01:59,8596
2019-11-15 01:02:58,8599
2019-11-15 01:03:59,8599
2019-11-15 01:04:59,8587.5
2019-11-15 01:05:59,8587.5
2019-11-15 01:06:59,8585
2019-11-15 01:07:59,8589.5
2019-11-15 01:08:57,8594
2019-11-15 01:09:59,8590
2019-11-15 01:10:58,8593.5
2019-11-15 01:11:58,8598
2019-11-15 01:12:59,8597.5
2019-11-15 01:13:59,8593.5
2019-11-15 01:14:56,8593.5
2019-11-15 01:15:59,8591.5
2019-11-15 01:16:59,8587
2019-11-15 01:17:55,8585.5
2019-11-15 01:18:59,8586
2019-11-15 01:19:59,8589.5
2019-11-15 01:20:59,8592
2019-11-15 01:21:59,8592.5
2019-11-15 01:22:57,8595
2019-11-15 01:23:57,8596.5
2019-11-15 01:24:59,8596.5
2019-11-15 01:25:57,8597.5
2019-11-15 01:26:54,8597.5
2019-11-15 01:27:59,8597.5
2019-11-15 01:28:57,8598
2019-11-15 01:29:59,8598.5
2019-11-15 01:30:59,8603.5
2019-11-15 01:31:56,8607
2019-11-15 01:32:57,8607
2019-11-15 01:33:58,8607
2019-11-15 01:34:59,8607
2019-11-15 01:35:57,8606.5
2019-11-15 01:36:57,8606.5
2019-11-15 01:37:51,8607
2019-11-15 01:38:53,8606.5
2019-11-15 01:39:59,8606.5
2019-11-15 01:40:59,8604.5
2019-11-15 01:41:59,8600
