"Index","Price"
2019-10-03 00:00:59,8394
2019-10-03 00:01:59,8401.5
2019-10-03 00:02:59,8405.5
2019-10-03 00:03:59,8401
2019-10-03 00:04:59,8394
2019-10-03 00:05:59,8385.5
2019-10-03 00:06:59,8376
2019-10-03 00:07:59,8365
2019-10-03 00:08:59,8364
2019-10-03 00:09:59,8369.5
2019-10-03 00:10:59,8366.5
2019-10-03 00:11:59,8356.5
2019-10-03 00:12:59,8360.5
2019-10-03 00:13:59,8356.5
2019-10-03 00:14:59,8359.5
2019-10-03 00:15:59,8366
2019-10-03 00:16:59,8364.5
2019-10-03 00:17:59,8364.5
2019-10-03 00:18:59,8368.5
2019-10-03 00:19:59,8371.5
2019-10-03 00:20:59,8372
2019-10-03 00:21:59,8364
2019-10-03 00:22:59,8357.5
2019-10-03 00:23:59,8346.5
2019-10-03 00:24:59,8350.5
2019-10-03 00:25:59,8344.5
2019-10-03 00:26:59,8346
2019-10-03 00:27:59,8345.5
2019-10-03 00:28:59,8348.5
2019-10-03 00:29:59,8340.5
2019-10-03 00:30:59,8342.5
2019-10-03 00:31:59,8348
2019-10-03 00:32:59,8348
2019-10-03 00:33:59,8345
2019-10-03 00:34:59,8345
2019-10-03 00:35:59,8346
2019-10-03 00:36:59,8341
2019-10-03 00:37:59,8340.5
2019-10-03 00:38:59,8345
2019-10-03 00:39:59,8340
2019-10-03 00:40:59,8335.5
2019-10-03 00:41:59,8337.5
2019-10-03 00:42:59,8339
2019-10-03 00:43:59,8338
2019-10-03 00:44:59,8337
2019-10-03 00:45:59,8340.5
2019-10-03 00:46:59,8346
2019-10-03 00:47:59,8346.5
2019-10-03 00:48:59,8348
2019-10-03 00:49:59,8351.5
2019-10-03 00:50:59,8352
2019-10-03 00:51:59,8350
2019-10-03 00:52:59,8350
2019-10-03 00:53:59,8345
2019-10-03 00:54:59,8345
2019-10-03 00:55:59,8344.5
2019-10-03 00:56:59,8345
2019-10-03 00:57:59,8342
2019-10-03 00:58:59,8340
2019-10-03 00:59:59,8338
2019-10-03 01:00:59,8348
2019-10-03 01:01:59,8349
2019-10-03 01:02:59,8349
2019-10-03 01:03:59,8349.5
2019-10-03 01:04:59,8351
2019-10-03 01:05:59,8355.5
2019-10-03 01:06:59,8360.5
2019-10-03 01:07:59,8358.5
2019-10-03 01:08:59,8359
2019-10-03 01:09:59,8358
2019-10-03 01:10:59,8358.5
2019-10-03 01:11:59,8358
2019-10-03 01:12:59,8358.5
2019-10-03 01:13:59,8358
2019-10-03 01:14:59,8353
2019-10-03 01:15:59,8349.5
2019-10-03 01:16:59,8349.5
2019-10-03 01:17:59,8349.5
2019-10-03 01:18:59,8346
2019-10-03 01:19:59,8346
2019-10-03 01:20:59,8346.5
2019-10-03 01:21:59,8343.5
2019-10-03 01:22:59,8342.5
2019-10-03 01:23:59,8344
2019-10-03 01:24:59,8344.5
2019-10-03 01:25:59,8344
2019-10-03 01:26:59,8344
2019-10-03 01:27:59,8342.5
2019-10-03 01:28:59,8340.5
2019-10-03 01:29:59,8342
2019-10-03 01:30:59,8345.5
2019-10-03 01:31:59,8340.5
2019-10-03 01:32:59,8341
2019-10-03 01:33:59,8341
2019-10-03 01:34:59,8341.5
2019-10-03 01:35:59,8341
2019-10-03 01:36:59,8341.5
2019-10-03 01:37:59,8341
2019-10-03 01:38:59,8341.5
2019-10-03 01:39:59,8341
2019-10-03 01:40:59,8341.5
2019-10-03 01:41:59,8341
2019-10-03 01:42:59,8335.5
2019-10-03 01:43:59,8325.5
2019-10-03 01:44:59,8326.5
2019-10-03 01:45:59,8330.5
2019-10-03 01:46:59,8328
2019-10-03 01:47:59,8327.5
2019-10-03 01:48:59,8335.5
2019-10-03 01:49:59,8345.5
2019-10-03 01:50:59,8347.5
2019-10-03 01:51:59,8344
2019-10-03 01:52:59,8344.5
2019-10-03 01:53:59,8340
2019-10-03 01:54:59,8341.5
2019-10-03 01:55:59,8343.5
2019-10-03 01:56:59,8346
2019-10-03 01:57:59,8345.5
2019-10-03 01:58:59,8345.5
2019-10-03 01:59:59,8340
2019-10-03 02:00:59,8341
2019-10-03 02:01:59,8347.5
2019-10-03 02:02:59,8350
2019-10-03 02:03:59,8349.5
2019-10-03 02:04:59,8350
2019-10-03 02:05:59,8349.5
2019-10-03 02:06:59,8350.5
2019-10-03 02:07:59,8352.5
2019-10-03 02:08:59,8353.5
2019-10-03 02:09:59,8355
2019-10-03 02:10:59,8355.5
2019-10-03 02:11:59,8358.5
2019-10-03 02:12:59,8358.5
2019-10-03 02:13:59,8356
2019-10-03 02:14:59,8353.5
2019-10-03 02:15:59,8357.5
2019-10-03 02:16:59,8360.5
2019-10-03 02:17:59,8360
2019-10-03 02:18:59,8360
2019-10-03 02:19:59,8355
2019-10-03 02:20:59,8354
2019-10-03 02:21:59,8349.5
2019-10-03 02:22:59,8348.5
2019-10-03 02:23:59,8348
2019-10-03 02:24:59,8348.5
2019-10-03 02:25:59,8348
2019-10-03 02:26:59,8346
2019-10-03 02:27:59,8345.5
2019-10-03 02:28:59,8351.5
2019-10-03 02:29:59,8358.5
2019-10-03 02:30:59,8355
2019-10-03 02:31:59,8355.5
2019-10-03 02:32:59,8355
2019-10-03 02:33:59,8357
2019-10-03 02:34:59,8362.5
2019-10-03 02:35:59,8362
2019-10-03 02:36:59,8360
2019-10-03 02:37:59,8359.5
2019-10-03 02:38:59,8360
2019-10-03 02:39:59,8359
2019-10-03 02:40:59,8358
2019-10-03 02:41:59,8356
2019-10-03 02:42:59,8355.5
2019-10-03 02:43:59,8355.5
2019-10-03 02:44:59,8348.5
2019-10-03 02:45:59,8348
2019-10-03 02:46:59,8348.5
2019-10-03 02:47:59,8348
2019-10-03 02:48:59,8351.5
2019-10-03 02:49:59,8351
2019-10-03 02:50:59,8351.5
2019-10-03 02:51:59,8352.5
2019-10-03 02:52:59,8352
2019-10-03 02:53:59,8351.5
2019-10-03 02:54:59,8352
2019-10-03 02:55:59,8351.5
2019-10-03 02:56:59,8352
2019-10-03 02:57:59,8352.5
2019-10-03 02:58:59,8359
2019-10-03 02:59:59,8359
2019-10-03 03:00:59,8359.5
2019-10-03 03:01:59,8359.5
2019-10-03 03:02:59,8360
2019-10-03 03:03:59,8359.5
2019-10-03 03:04:59,8360
2019-10-03 03:05:59,8362.5
2019-10-03 03:06:59,8364
2019-10-03 03:07:59,8360
2019-10-03 03:08:59,8360
2019-10-03 03:09:59,8356.5
2019-10-03 03:10:59,8351.5
2019-10-03 03:11:59,8350
2019-10-03 03:12:59,8350
2019-10-03 03:13:59,8348
2019-10-03 03:14:59,8344.5
2019-10-03 03:15:59,8344.5
2019-10-03 03:16:59,8344.5
2019-10-03 03:17:59,8341
2019-10-03 03:18:59,8347
2019-10-03 03:19:59,8346.5
2019-10-03 03:20:59,8347.5
2019-10-03 03:21:59,8342.5
2019-10-03 03:22:59,8341.5
2019-10-03 03:23:59,8341.5
2019-10-03 03:24:59,8345
2019-10-03 03:25:59,8342.5
2019-10-03 03:26:59,8342
2019-10-03 03:27:59,8341.5
2019-10-03 03:28:59,8340.5
2019-10-03 03:29:59,8340
2019-10-03 03:30:59,8340
2019-10-03 03:31:59,8340
2019-10-03 03:32:59,8343.5
2019-10-03 03:33:59,8343
2019-10-03 03:34:59,8346
2019-10-03 03:35:59,8348.5
2019-10-03 03:36:59,8350
2019-10-03 03:37:59,8351.5
2019-10-03 03:38:59,8352
2019-10-03 03:39:59,8349.5
2019-10-03 03:40:59,8347.5
2019-10-03 03:41:59,8347
2019-10-03 03:42:59,8347.5
2019-10-03 03:43:59,8345
2019-10-03 03:44:59,8344.5
2019-10-03 03:45:59,8344
2019-10-03 03:46:59,8342.5
2019-10-03 03:47:59,8342
2019-10-03 03:48:59,8344.5
2019-10-03 03:49:59,8344
2019-10-03 03:50:59,8345
2019-10-03 03:51:59,8344.5
2019-10-03 03:52:59,8345
2019-10-03 03:53:59,8344.5
2019-10-03 03:54:59,8342.5
2019-10-03 03:55:59,8344.5
2019-10-03 03:56:59,8341.5
2019-10-03 03:57:59,8341.5
2019-10-03 03:58:59,8341.5
2019-10-03 03:59:59,8341
2019-10-03 04:00:59,8348.5
2019-10-03 04:01:59,8346.5
2019-10-03 04:02:59,8347
2019-10-03 04:03:59,8346.5
2019-10-03 04:04:59,8347
2019-10-03 04:05:59,8346.5
2019-10-03 04:06:59,8347
2019-10-03 04:07:59,8346.5
2019-10-03 04:08:59,8352
2019-10-03 04:09:59,8351.5
2019-10-03 04:10:59,8352
2019-10-03 04:11:59,8351.5
